id,candidate,account,signature,round,createdAt,updatedAt,amount
30,0x8a32Af4AfFD816978C2Fdfa7C08c27681d05d4Fe,0x31b4C292b4639a32A0aCA72B0451499B464c58cb,0x5b69c7d96726b4e51560a5bb18378703dbb9a4aaeb02bfbeb4e9cec2e7349a5216cbd1e59d0ddf09ff1a1a9450ca3dd9b73ac243ad699d48788106cde13251d81b,1,2021-02-26 22:24:00.571+00,2021-03-03 06:10:59.812+00,1000
34,0x32802F989B4348A51DD0E61D23B78BE1a0543469,0xAed58605cF7d6A9396f7c0539D51df6763808208,0x0b85695082c2fe0bdeed9f79c08ecf3aca54d009b649edb26f1606077963f42b7268f5e385e346804f8adc0cd1d6945b1c2c430cd89b2a9687b40f285757b9ff1c,1,2021-02-26 22:24:56.355+00,2021-03-03 06:10:59.812+00,1000
46,0xD9C4475E2dd89a9a0aD0C1E9a1e1bb28Df7BA298,0xe7925D190aea9279400cD9a005E33CEB9389Cc2b,0x198d1439bc711645dc8ad0e175898954c06d173d354c34558a57a17c5746398a76b6accb6f3340f4a6cff862869bbefce7f521332d781e70fd329e4f60c4f1ae1b,1,2021-02-26 22:43:21.451+00,2021-03-03 06:10:59.812+00,1000
49,0x067b9Bbbbc42d2AB9b9Ab6bB62646dAF7F344A76,0xB0623C91c65621df716aB8aFE5f66656B21A9108,0x7e91ecfba063bfa937fd6f936d5bd2c2def6a912dc49ecefef3dd4054db879d4697ae6778e18faf31579114d5bfc47ce1db6b070e289defdfa833c075046bd1f1b,1,2021-02-26 22:46:16.985+00,2021-03-03 06:10:59.812+00,1000
183,0x4628D77ba8fCc7a7F2B6bd4A0363061a06E7a20F,0xFf37A713c920F6e94043D10c1230e30B13F4d500,0xa7fdc5ad7569af7aa896fa70310eeaa8f8b134209e88823e18dbd871c5e555ea1a2940ba422740a6f058283c06cc5a426ae2c8e8f526dde1a11b9c74a32e45061c,1,2021-02-27 01:19:58.3+00,2021-03-03 06:10:59.812+00,1000
204,0x42DFAf5266Ad40AB4533F9806F5CC1DF4C1eB363,0x46301F7E700Be9cFfCE3e5e142a2244Df3f2d4F2,0x4d9c77c6e7c679d415836d7bdf49fbe11bf1fafd4bdc63c5769d59775ce00e821bfa8e01be4386626a56e3a2d3a5d1432ba60f748cfa5cc8169281e9a3c3016d1c,1,2021-02-27 01:36:10.4+00,2021-03-03 06:10:59.812+00,1000
232,0x42DFAf5266Ad40AB4533F9806F5CC1DF4C1eB363,0x565B93a15d38aCD79c120b15432D21E21eD274d6,0x22436f796d8af858a464f56dea89954a63d49f818a33ac06f816a9230dec5a487ac3a87aa0b51651d126ff38271e49fa4e8445e60670a320889e42eb27f85dc11c,1,2021-02-27 02:02:11.503+00,2021-03-03 06:10:59.812+00,1000
271,0x3cb91A674fd627B66eeAFcDf0cBcF963CEde73ad,0x5e349eca2dc61aBCd9dD99Ce94d04136151a09Ee,0xa93cbf12446d65627d7fd28eebe349c8321926c56633e7d41fbc5b3704adc92f734c234a8288998a0c30080ca4981df6165901f5d2d8b56b126bc4f4276c52181c,1,2021-02-27 02:39:53.962+00,2021-03-03 06:10:59.812+00,1000
276,0x808a2adbD0a3fc679e3F7CD18d4f579BFCaaEC9C,0xCC65fA278B917042822538c44ba10AD646824026,0x00e9e3977aecd79e4ac55c3caa23fe7fb9ffe07de8bf1134e9cb1cf21c08e11852f3f283539961addfd18e8cf98d2db21efa33059b088bb984f7b445b12698071b,1,2021-02-27 02:48:46.443+00,2021-03-03 06:10:59.812+00,1000
291,0x42DFAf5266Ad40AB4533F9806F5CC1DF4C1eB363,0x68F9D801C96aC6ccf562f3600Cef77c4504449b6,0x03f96ad3e58d3e66d46d20760e35aa2739f9514b64a8cb745837bdf66799828117913a45585c9001cfa1e0d236e4eae5509f324ee3a24e51eb021f7199bda83d1b,1,2021-02-27 03:06:57.07+00,2021-03-03 06:10:59.812+00,1000
