contributor,contribution,contract_address,creator
\x565b93a15d38acd79c120b15432d21e21ed274d6,1.5000000000000000,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,\xf7f52dd34bc21eda08c0b804c7c1dbc48375820f
\x808a2adbd0a3fc679e3f7cd18d4f579bfcaaec9c,2.0000000000000000,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,\xf7f52dd34bc21eda08c0b804c7c1dbc48375820f
\x8be3fd8a423c38131aae0330b20ceec425e0e50e,0.11000000000000000000,\x22ffc1e1ab8e8ee937fe05a4cbe45ed0636e47fb,\xc46e9a66fddc8d1a69529d86e668236f02957f1b
\xcc65fa278b917042822538c44ba10ad646824026,0.40000000000000000000,\x94515e4f6fabad73c8bcdd8cd42f0b5c037e2c49,\x8dca852d10c3cfccb88584281ec1ef2d335253fd
\x8f416779f35e8e390779abef8a9afdde59e13f60,0.01650000000000000000,\x22ffc1e1ab8e8ee937fe05a4cbe45ed0636e47fb,\xc46e9a66fddc8d1a69529d86e668236f02957f1b
\xdafa9e3dae493f0b9d6872eff4fda0f40d1b7488,0.02220000000000000000,\x972fbe58d550f17ed723bc4bceb60163d45e46c1,\x3b3525f60eeea4a1ef554df5425912c2a532875d
\xafd9ea5cea243eea8d8fdb7fe74b27f0e53a0be0,0.05000000000000000000,\x85625b4983e6a54eda7e237f1a64e0cfb4408c6d,\x2ae8c972fb2e6c00dded8986e2dc672ed190da06
\x85086a248eda2fd79435a0e9f957bba539aa850d,0.05000000000000000000,\x22ffc1e1ab8e8ee937fe05a4cbe45ed0636e47fb,\xc46e9a66fddc8d1a69529d86e668236f02957f1b
\x06e44e41db9add473aadf75c1c9eadf3cf5b74c9,0.00628318530718000000,\x94515e4f6fabad73c8bcdd8cd42f0b5c037e2c49,\x8dca852d10c3cfccb88584281ec1ef2d335253fd
\x2f9b473d4b9f95a5e55f205be1a003b27d24df76,0.20000000000000000000,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,\xf7f52dd34bc21eda08c0b804c7c1dbc48375820f
\x601729acddb9e966822a90de235d494647691f1d,0.20000000000000000000,\x94515e4f6fabad73c8bcdd8cd42f0b5c037e2c49,\x8dca852d10c3cfccb88584281ec1ef2d335253fd
\x9fc3b33884e1d056a8ca979833d686abd267f9f8,0.10000000000000000000,\x94515e4f6fabad73c8bcdd8cd42f0b5c037e2c49,\x8dca852d10c3cfccb88584281ec1ef2d335253fd
\xa8a33539960ef4779cb0eceded8002c1ecd40582,1.00000000000000000000,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,\xf7f52dd34bc21eda08c0b804c7c1dbc48375820f
\x5507dbd48a5a5bace8a6030e878cc4e0af147c33,0.10000000000000000000,\x85625b4983e6a54eda7e237f1a64e0cfb4408c6d,\x2ae8c972fb2e6c00dded8986e2dc672ed190da06
\x057657f5ed3da2cbf7999a0179de227265f41b39,0.36000000000000000000,\x94515e4f6fabad73c8bcdd8cd42f0b5c037e2c49,\x8dca852d10c3cfccb88584281ec1ef2d335253fd
\x64298a72f4e3e23387efc409fc424a3f17356fc4,0.01000000000000000000,\x972fbe58d550f17ed723bc4bceb60163d45e46c1,\x3b3525f60eeea4a1ef554df5425912c2a532875d
\x752c16c291eb17181d0b987fd215602618cd2d4c,0.01000000000000000000,\x972fbe58d550f17ed723bc4bceb60163d45e46c1,\x3b3525f60eeea4a1ef554df5425912c2a532875d
\xd3e9d60e4e4de615124d5239219f32946d10151d,0.52600000000000000000,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,\xf7f52dd34bc21eda08c0b804c7c1dbc48375820f
\x1cbbc4e224ac7b830d4bfa50b3d80fd5fb1ad674,0.60000000000000000000,\x94515e4f6fabad73c8bcdd8cd42f0b5c037e2c49,\x8dca852d10c3cfccb88584281ec1ef2d335253fd
\x8de33d8204929ceb2f7aa6299d0643a7f6664c9b,0.05600000000000000000,\x22ffc1e1ab8e8ee937fe05a4cbe45ed0636e47fb,\xc46e9a66fddc8d1a69529d86e668236f02957f1b
\x2f4bea4cb44d0956ce4980e76a20a8928e00399a,0.13800000000000000000,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,\xf7f52dd34bc21eda08c0b804c7c1dbc48375820f
\x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,2.0000000000000000,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,\xf7f52dd34bc21eda08c0b804c7c1dbc48375820f
\x0fc84e15aeb7907a76a221169d80d3eb06cdb44b,1.7960000000000000,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,\xf7f52dd34bc21eda08c0b804c7c1dbc48375820f
\xcc65fa278b917042822538c44ba10ad646824026,0.24000000000000000000,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,\xf7f52dd34bc21eda08c0b804c7c1dbc48375820f
