day,buyer,contribution,creator,contract_address,product_type
2021-05-03T00:00:00+00:00,\xcc65fa278b917042822538c44ba10ad646824026,0.01000000000000000000,\x942cbea64876ff0b2e23c0712b37dc0091804e9c,\x2a8aed75c4230629112f9ba26070741500d0c02c,crowdfund
2021-05-03T00:00:00+00:00,\xd1d43e08815a1806881454812cb26fe689205682,0.00500000000000000000,\x942cbea64876ff0b2e23c0712b37dc0091804e9c,\x2a8aed75c4230629112f9ba26070741500d0c02c,crowdfund
2021-05-05T00:00:00+00:00,\x016c8780e5ccb32e5caa342a926794ce64d9c364,1.00000000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
2021-05-05T00:00:00+00:00,\x0b7917b62bc98967e06e80efba9abcaccf3d4928,0.25000000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
2021-05-05T00:00:00+00:00,\x0fc84e15aeb7907a76a221169d80d3eb06cdb44b,0.89800000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
2021-05-05T00:00:00+00:00,\x174d123ce1ef00eebf1026fbf061a7a58a928def,1.00000000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
2021-05-05T00:00:00+00:00,\x1d14d9e297dfbce003f5a8ebcf8cba7faee70b91,0.10000000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
2021-05-05T00:00:00+00:00,\x2e419a06feb47d5f640636a55a814757fa10edf9,0.25000000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
2021-05-05T00:00:00+00:00,\x2f4bea4cb44d0956ce4980e76a20a8928e00399a,0.06900000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
2021-05-05T00:00:00+00:00,\x2f9b473d4b9f95a5e55f205be1a003b27d24df76,0.10000000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
2021-05-05T00:00:00+00:00,\x323794c012df58d68843d745c75ea536d870c7da,0.10000000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
2021-05-05T00:00:00+00:00,\x3b3525f60eeea4a1ef554df5425912c2a532875d,0.06900000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
2021-05-05T00:00:00+00:00,\x3c2b4bdcd2f742c55186fc599cb733a127e2b8ab,1.00000000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
2021-05-05T00:00:00+00:00,\x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,1.00000000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
2021-05-05T00:00:00+00:00,\x47edbd307180556dbbeb5beabd8a40ac30520f57,0.05000000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
2021-05-05T00:00:00+00:00,\x514b1861561fddf86baf8462e001a1584e1b7b83,0.60500000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
2021-05-05T00:00:00+00:00,\x5507dbd48a5a5bace8a6030e878cc4e0af147c33,1.00000000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
2021-05-05T00:00:00+00:00,\x565b93a15d38acd79c120b15432d21e21ed274d6,0.75000000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
2021-05-05T00:00:00+00:00,\x56b6ae8609ef719478e84c7605ae9604816d699e,0.06900000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
2021-05-05T00:00:00+00:00,\x5ba02f4ff6af1d9d2af8774d10fd32eb57d4e2e6,0.06900000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
2021-05-05T00:00:00+00:00,\x625d6405dcac9c82f4b681a131d9182115448f75,0.10000000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
2021-05-05T00:00:00+00:00,\x64298a72f4e3e23387efc409fc424a3f17356fc4,0.10100000000000000000,\x3527a204a5260a0e36ca695312379370328e4e6c,\x402eb84d9cb2d6cf66bde9b46d7277d3f4a16b54,crowdfund
