,source,AU_value,CF_contribution,ED_purchaseValue,SP_value,Votes,mentions,twitter,betweenness,created,unique_contributed,votes_before,did_bid,total_contributions,did_contribute,did_create,actual_airdrop,betweenness_level
0,0x00000003cd3aa7e760877f03275621d2692f5841,0.0,1.0,0.0,0.0,0.0,19.0,mu806,0.0,0.0,0.1111111111111111,20,0,1.0,2,0,0.04222222222222222,low
1,0x000000064730640b7d670408d74280924883064f,0.0,0.0,0.0,0.0,10.0,50.0,coinfreakgr,0.0,0.0,0.0,20,0,0.0,0,0,0.02,low
2,0x000eeb1cc42130aa8934756848a7cd713d8df818,0.0,0.0,0.0,0.0,20.0,6.0,maxmioo,5.764414711593362e-07,0.0,0.0,30,0,0.0,0,0,0.030001729324413473,low
3,0x001d6bf1898dd15ba388d97e83f4960fdaef1dc7,0.0,0.0,0.0,0.0,0.0,4.0,wolfehr,0.0,0.0,0.0,10,0,0.0,0,0,0.01,low
4,0x0040daac32d83c78546ae36da42a496b28ab09e1,0.0,0.1,0.0,0.0,0.0,53.0,iamgaurangdesai,7.911659191661889e-05,0.0,0.1111111111111111,10,0,0.1,2,0,0.012318920279009202,low
5,0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1111111111111111,20,0,1.0,2,0,0.04222222222222222,low
6,0x0052886567af035eb95573f36ecee43ba6453fc3,0.0,0.0,0.0,0.0,0.0,10.0,hisamblake,0.0,0.0,0.0,10,0,0.0,0,0,0.01,low
7,0x0056bcfe33f5c6dfa62b6d3d3cf5a957429828bb,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1111111111111111,0,0,1.0,2,0,0.02222222222222222,low
8,0x00649c890fb925ca68d2f7a78d62e932b726ec27,0.0,0.0,0.0,0.0,0.0,8.0,arthursmenezess,0.0,0.0,0.0,10,0,0.0,0,0,0.01,low
9,0x0064dd1840a0e5284280244f2da76aef484c6cd3,0.0,0.0,0.0,0.0,0.0,4.0,moonsoo68242359,0.0,0.0,0.0,10,0,0.0,0,0,0.01,low
10,0x006b082e8a781fdbaf499fd11aacfcebaf83d382,0.0,0.0,0.0,0.0,0.0,2.0,yimbyarts,0.0,0.0,0.0,10,0,0.0,0,0,0.01,low
11,0x007f2a96cbdf08bf1a58f1de3599cb67571a40ac,0.0,0.0,0.0,0.0,10.0,0.0,guitarplyr4u,0.0,0.0,0.0,20,0,0.0,0,0,0.02,low
12,0x0090720fed7fed66ed658118b7b3bb0189d3a495,0.0,0.0,0.0,0.0,30.0,68.0,sammybauch,7.909257352198725e-05,0.0,0.0,30,0,0.0,0,0,0.030237277720565964,low
13,0x00917c372fa5e0c7fe8ecc04ceea2670e18d3786,0.0,0.0,0.0,0.0,0.0,23.0,geoburke,7.909257352198725e-05,0.0,0.0,10,0,0.0,0,0,0.010079092573521988,low
14,0x0093bd7c0444beaeb3743cec4aa5935758883dc6,0.0,0.0,0.0,0.0,0.0,5.0,michaelkuhlmann,0.0,0.0,0.0,10,0,0.0,0,0,0.01,low
15,0x0094cfba72efcafe4d45c257a713414b9502a348,0.0,6.01,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1111111111111111,10,0,6.01,2,0,0.14355555555555555,low
16,0x0095e17d7943f0a89c4dddb2dc0fc57e33401f0f,0.0,0.0,0.0,0.0,0.0,9.0,dovs_,0.0,0.0,0.0,10,0,0.0,0,0,0.01,low
17,0x00af41c6ee0b153e973004529db12e35a65748f6,0.0,0.0,0.0,0.0,0.0,4.0,_themitch_,0.0,0.0,0.0,10,0,0.0,0,0,0.01,low
18,0x00b043f0eeb912633715f3b01af922cc63b095a7,0.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1111111111111111,0,1,0.2,2,0,0.0044444444444444444,low
19,0x00c62fb0ed991c19edffedf58136f42d188c3cf2,0.0,0.02,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1111111111111111,0,0,0.02,2,0,0.00044444444444444447,low
20,0x00ce0bcc79f4097e8d3841bf3e6aadf7e4a1a136,0.0,0.0,0.0,0.0,0.0,3.0,vato_dex,0.0,0.0,0.0,10,0,0.0,0,0,0.01,low
21,0x00de4b13153673bcae2616b67bf822500d325fc3,0.0,0.0,0.0,0.0,0.0,228.0,owocki,0.0070454357892718,0.0,0.0,1000,0,0.0,0,0,1.7045435789271801,low
